revguard-api|work-revguard-api|Up 2 minutes (healthy)|0.0.0.0:19000->9000/tcp, [::]:19000->9000/tcp
work-alertmanager-1|prom/alertmanager:v0.28.1|Up 52 seconds|9093/tcp
work-alloy-1|grafana/alloy:v1.10.2|Up 53 seconds|
work-blackbox-1|prom/blackbox-exporter:v0.27.0|Up 53 seconds|9115/tcp
work-grafana-1|grafana/grafana:12.1.1|Up 53 seconds|127.0.0.1:13001->3000/tcp
work-loki-1|grafana/loki:3.5.4|Up 52 seconds|3100/tcp
work-otel-collector-1|otel/opentelemetry-collector-contrib:0.132.0|Up 53 seconds|4317-4318/tcp, 55679/tcp
work-prometheus-1|prom/prometheus:v3.5.0|Up 53 seconds|9090/tcp
work-tempo-1|grafana/tempo:2.8.2|Up 52 seconds|
